focus_area,category_path,star_rating,how_to,why
Vær spilbar under pres,holdtraening_faelles,4,"[""Lav små bevægelser ud af “skyggen”."",""Stå i vinkel så du kan spille videre med 1–2 touches."",""Kommunikér “i fødder” hvis du vil have bolden.""]","Holdet kan spille ud af pres, og du udvikler elite-tryghed på bolden."
Tænk næste aktion – ikke nuværende,holdtraening_faelles,4,"[""Tænk: “hvis jeg får den nu, hvad gør jeg?”"",""Hav altid plan A/B."",""Modtag med kroppen klar til næste aktion.""]","Du bliver hurtigere, mere stabil og laver færre panikfejl."
Arbejd aktivt i omstillinger,holdtraening_faelles,3,"[""Ved vinding: gør dig spilbar fremad med det samme."",""Ved tab: pres/luk midten straks."",""Fokuser på første 5 meter.""]",Omstillinger skaber flest chancer og farligste situationer.
Åben kropsstilling før modtagelse,holdtraening_faelles,3,"[""Stå i 45° vinkel, så du kan se banen."",""Modtag med “halv vending”."",""Undgå at stå helt fladt mod bolden.""]",Du kan spille fremad hurtigere og undgår at blive låst.
Skift spil-side hurtigt når der er plads,holdtraening_faelles,4,"[""Scan: hvor er modsatte side fri?"",""Spil hurtigt via 1–2 pasninger eller længere bold."",""Flyt dig efterfølgende til ny støtteposition.""]",I undgår pres og skaber 1v1/2v1 på modsatte side.
Spil igennem preslinjen når det er sikkert,holdtraening_faelles,5,"[""Scan efter pasning “mellem kæder”."",""Brug fast pasning langs jorden til fri mand."",""Vælg sikker løsning hvis linjen lukker.""]",At bryde preslinjer er en nøgle til at skabe chancer mod gode hold.
Første 5 meter efter aflevering (gen-position),holdtraening_faelles,3,"[""Efter pasning: sprint/accelerér de første 5 m til ny plads."",""Kig om du kan få bolden tilbage."",""Skab overtal omkring bolden.""]",Du bliver konstant involveret og hjælper holdet med at dominere.
Hold korrekt afstand til nærmeste medspiller,holdtraening_faelles,3,"[""For tæt = trængsel, for langt = ingen støtte."",""Justér 2–3 m baseret på pres."",""Hold “trekanter” i spillet.""]",God spacing gør pasningsspil og genpres markant bedre.
Vælg sikker løsning i egen farlige zone,holdtraening_faelles,3,"[""I egen tredjedel: undgå risikable afleveringer centralt."",""Spil ud via sider/tilbage hvis du er presset."",""Tag kun risiko når du har tid og støtte.""]","Du reducerer de farligste boldtab, som ofte fører til mål imod."
Kommunikation i spillet,holdtraening_maalmand,3,"[""Giv korte kommandoer: “pres”, “fald”, “mand på”, “ud”."",""Tal før situationen bliver farlig."",""Gentag ved skift i boldside.""]",Du organiserer holdet og forhindrer gratis chancer imod jer.
Kommunikér konstant med bagkæden,holdtraening_maalmand,4,"[""Styr linjen: “op”, “hold”, “fald”."",""Informér om løb bag ryggen."",""Vær tydelig og konsekvent.""]",Bagkæden bliver samlet og laver færre fejl.
Hurtig igangsætning,holdtraening_maalmand,3,"[""Kig frem før du får bolden i hænderne."",""Vælg hurtig, enkel løsning."",""Igangsæt mens modstanderen er i ubalance.""]",I skaber omstillinger og fanger modstanderen uorganiseret.
Vælg hurtigt igangsætning,holdtraening_maalmand,3,"[""Plan A: hurtig fremad. Plan B: sikker kort."",""Beslut inden du samler bolden op."",""Udfør med ro (ingen panik).""]",Tempo og kvalitet i jeres spil bliver bedre.
Positionér dig aktivt i forhold til boldens placering,holdtraening_maalmand,4,"[""Flyt dig i små skridt når bolden flytter sig."",""Centrer dig ift. bolden (vinkel-lukning)."",""Hold balance på forfod.""]",Du “redder” med positionering og gør målet mindre.
Vær spillbar i opbygningen,holdtraening_maalmand,3,"[""Placér dig som ekstra pasningsmulighed."",""Modtag i vinkel til næste pasning."",""Kommunikér til stopper: “tilbage”.""]",I kan spille ud af pres og holde bolden.
Træf tidlige beslutninger i feltet,holdtraening_maalmand,5,"[""Læs indlæg tidligt: gå/bliv."",""Hvis du går: gå 100% og råb “MIN”."",""Hvis du bliver: sæt dig til skud/retur.""]",Reducerer kaos og forhindrer billige mål.
Styr tempoet med bolden,holdtraening_maalmand,3,"[""Hurtigt når I har overtal."",""Langsommere når holdet skal op."",""Brug samme teknik, kun beslutningen ændres.""]",Du kontrollerer kampens rytme.
Kommunikér ved dødbolde,holdtraening_maalmand,4,"[""Fordel zoner og markeringer."",""Brug klare ord: “stolpe”, “ud”, “hold”."",""Gentag lige før indlæg.""]",Dødbolde afgør kampe – organisering reducerer farlige afslutninger.
Forudse spillet – ikke kun reagere,holdtraening_maalmand,5,"[""Læs boldholderens kropsstilling."",""Flyt dig 1–2 skridt før stikning/indlæg."",""Hold fokus på farlige rum.""]",Du bliver hurtigere og mere sikker i alle situationer.
Vær klar til returbold,holdtraening_maalmand,4,"[""Efter redning: land i balance."",""Forvent ny afslutning."",""Kommunikér “clear”/“min”.""]",Returer er en stor mål-kilde. Du lukker “anden chance”.
Genopret organisation efter redning,holdtraening_maalmand,3,"[""Råb “ud”, “op”, “pres”."",""Saml bagkæden hurtigt."",""Skab ro før I bygger op.""]","I undgår, at én redning bliver til 2–3 farlige situationer."
Placér dig som sweeper-keeper ved højt pres,holdtraening_maalmand,5,"[""Stå 5–15 m ude når I står højt."",""Vær klar til at cleare stikninger."",""Hold kroppen lav og klar til sprint.""]",I kan stå højere og presse mere aggressivt uden at blive straffet bagrum.
Spil ud med begge fødder,holdtraening_maalmand,4,"[""Modtag og spil med den frieste fod."",""Vær rolig og hold pasning langs jorden."",""Undgå at “låse” dig til én side.""]","I bliver sværere at presse, og opbygningen bliver stabil."
Kommunikér ved indlæg (før bolden slås),holdtraening_maalmand,4,"[""Sig “stolpe”, “ud”, “hold linje”."",""Fortæl hvem der tager duel og hvem der dækker rum."",""Gentag lige inden indlæg.""]",Mindre forvirring = færre frie headers imod jer.
Footwork før skud,holdtraening_maalmand,4,"[""Små “set-steps” (hurtige små skridt) før afslutning."",""Hold vægt på forfod."",""Hænder foran kroppen klar.""]",Du bliver eksplosiv og reagerer hurtigere.
Grebsteknik (sikre bolde),holdtraening_maalmand,3,"[""Mød bolden foran kroppen."",""“W-hænder” ved høje bolde, skål ved lave."",""Lås bolden ind til brystet.""]",Sikre grib reducerer returer og kaos.
Læs gennemspil og stikninger,holdtraening_maalmand,5,"[""Scan bagkædens dybde og modstanderens løb."",""Forudse stikning når boldholder har tid."",""Vælg tidligt: gå ud/hold.""]",Du stopper de farligste chancer: friløbere og gennembrud.
Rollefordeling ved frispark (mur + dybde),holdtraening_maalmand,4,"[""Sæt mur korrekt (afstand + antal)."",""Aftal hvem dækker dybde/retur."",""Tjek din position ift. stolpe.""]",Reducerer direkte mål og returer efter frispark.
Trigger pres med igangsætning,holdtraening_maalmand,3,"[""Igangsæt hurtigt til fri side for at undgå pres."",""Brug korte pasninger for at lokke pres og spille forbi."",""Kommunikér “vend”/“igen”.""]","I kontrollerer, hvor preset kommer og spiller jer fri."
Styr mod svag side i 1v1,holdtraening_back,4,"[""Luk indersiden med din position."",""Tving modstanderen udad."",""Vent på støtte før du går i tackling.""]",Du reducerer gennembrud centralt og gør 1v1 lettere at vinde.
Timing i overlap,holdtraening_back,3,"[""Start løbet når kant har kontrol."",""Løb i fart og kommunikér."",""Vælg overlap eller underlap baseret på rum.""]",Skaber overtal og farlige indlægssituationer.
Vurdér hvornår du skal blive,holdtraening_back,4,"[""Tjek dækning bag dig før du går."",""Bliv hvis I er i ubalance."",""Gå når I har kontrol og støtte.""]",Du undgår at efterlade bagrum og blive straffet i omstillinger.
Positionér dig korrekt i defensiv omstilling,holdtraening_back,4,"[""Sprint hjem mod mål-siden først."",""Luk indersiden og beskyt bagrum."",""Pres først når I er organiseret.""]",Du stopper farlige kontraangreb.
Spil simpelt under pres,holdtraening_back,3,"[""1-touch til sikker løsning ved tæt pres."",""Undgå driblinger i egen tredjedel uden støtte."",""Brug målmand/stoppere som udvej.""]",Færre farlige boldtab.
Afstem afstand til kantspilleren,holdtraening_back,3,"[""Hvis kant går ind, hold bredden."",""Hvis kant er bred, kan du støtte indad."",""Kommunikér løb/rolle.""]",Bedre samarbejde giver både gennembrud og defensiv sikkerhed.
Pres med korrekt vinkel,holdtraening_back,4,"[""Pres så du lukker indersiden."",""Styr mod sidelinjen."",""Sænk tempo når du er tæt for balance.""]",Du “styrer” modstanderen til ufarlige områder.
Genkend hvornår du skal støde frem,holdtraening_back,4,"[""Stød når boldholder har dårlig kontrol/ryg mod mål."",""Bliv hvis der er løb bag dig uden dækning."",""Sig “jeg” til stopper.""]",God timing kan vinde bolden højt.
Vær klar på bagerste stolpe defensivt,holdtraening_back,3,"[""Når bolden er modsat: drop ind mod bagerste stolpe."",""Markér indløb bag dig."",""Vær klar til clearance.""]",Forhindrer mange “gratis” indlægsmål.
Kommunikér overlap og indadløb,holdtraening_back,2,"[""Sig “overlap”, “indad”, “mand på”."",""Peg hvor løbet kommer."",""Kommunikér tidligt.""]",Mindre misforståelser og bedre timing.
Underlap timing,holdtraening_back,4,"[""Start underlap når kant trækker bredt og du ser rum inde."",""Løb i fart ind i halvrum."",""Forvent cutback.""]",Skaber farlige cutbacks og gennembrud centralt.
Indlæg vs cutback valg,holdtraening_back,4,"[""Kig op før aflevering: er der folk i boks?"",""Ved lavt forsvar: cutback ofte bedst."",""Ved løb i felt: indlæg mod zoner.""]",Bedre slutprodukt = flere chancer.
Dæk indlægssiden i 1v1,holdtraening_back,3,"[""Positionér dig så du kan blokere indlæg."",""Hold afstand så du kan reagere."",""Tving tilbage/ud.""]",Reducerer farlige indlæg.
Pres når bold vender (trigger),holdtraening_back,4,"[""Pres hårdt når modstanderen vender mod egen mål."",""Luk afleveringslinje fremad."",""Kommunikér så holdet støtter.""]",Skaber fejl og høje boldvindinger.
Spil diagonalt ind i banen når der er plads,holdtraening_back,4,"[""Scan om midten er fri."",""Dribl 3–5 m ind før pasning."",""Spil til 8/10 i mellemrum.""]",I bryder pres og skaber bedre vinkler.
Kommunikér med 6’er om dækningsskift,holdtraening_back,3,"[""Sig “dæk mig” når du går frem."",""Aftal hvem tager halvrum."",""Gentag ved sideskift.""]",Bedre balance når du går med frem.
Sprint hjem efter overlap,holdtraening_back,3,"[""Når angrebet dør: sprint hjem direkte."",""Find først egen zone, så pres."",""Kig efter løb bag dig.""]",Stopper kontraangreb.
Første touch fremad på kanten,holdtraening_back,3,"[""Modtag i fart og tag touch ud af fødder."",""Skab plads til indlæg/pasning."",""Undgå stopbold.""]",Hurtigere handling på siden giver flere gennembrud.
Markér bagerste stolpe ved indlæg (defensivt),holdtraening_back,3,"[""Drop ind bag stopperne."",""Hold øje med kant fra modsatte side."",""Clear med første touch.""]",Forhindrer afslutninger ved bagerste stolpe.
Vælg hvornår du går i duel,holdtraening_back,4,"[""Gå i duel når du har støtte bag dig."",""Vent hvis du kan blive spillet forbi."",""Styr først, tackl derefter.""]",Færre gennembrud imod dig.
Første touch væk fra pres,holdtraening_midterforsvarer,4,"[""Scan før modtagelse: hvor kommer pres fra?"",""Tag første touch væk fra pres, ikke ind i det."",""Spil simpelt hvis du er låst.""]",Du undgår farlige boldtab centralt.
Styr bagkæden samlet,holdtraening_midterforsvarer,4,"[""Kommunikér “op/fald/hold”."",""Hold afstand til makker."",""Flyt som en enhed ved sideskift.""]",Kæden bliver stabil og svær at bryde.
Læs spillet før du går i duel,holdtraening_midterforsvarer,4,"[""Læs modtagers første touch."",""Vent på trigger (dårlig kontrol/ryg mod mål)."",""Gå aggressivt når du går.""]",Timing reducerer risiko for at blive spillet forbi.
Vær modig i boldomgangen,holdtraening_midterforsvarer,4,"[""Se efter 6/8 i mellemrummet."",""Spil fremad når det er sikkert."",""Brug målmand/makker som sikkerhed.""]",I bygger angreb i stedet for at cleare.
Justér dybden i bagkæden,holdtraening_midterforsvarer,5,"[""Højt pres = høj kæde, men samlet."",""Lavt pres = drop for at beskytte bagrum."",""Kommunikér konstant.""]",Stopper stikninger og løb bag ryggen.
Dæk rummet – ikke kun manden,holdtraening_midterforsvarer,4,"[""Prioritér rum mellem dig og mål."",""Overlad mand til makker hvis muligt."",""Se både bold og løb.""]",Du stopper gennembrud og farlige pasninger.
Forbered dig på andenbolden,holdtraening_midterforsvarer,3,"[""Efter duel: tag 1–2 skridt klar."",""Forvent hvor bolden falder."",""Clear eller spil simpelt.""]",Andenbolde afgør momentum.
Skab ro efter boldvinding,holdtraening_midterforsvarer,3,"[""Første pasning: sikker."",""Genpositionér efter pasning."",""Undgå “panik-clears”.""]",I beholder bolden og undgår ny bølge imod jer.
Kommunikér hvem der støder,holdtraening_midterforsvarer,3,"[""Aftal hvem presser, hvem sikrer."",""Sig “jeg/ din/ bliv”."",""Gentag ved skift.""]",Færre misforståelser og huller.
Vær opmærksom på løb bag ryggen,holdtraening_midterforsvarer,4,"[""Scan når boldholder har tid."",""Stå halvvendt så du kan løbe."",""Råb “løb” til kæden.""]","Forhindrer friløbere, de farligste chancer."
Hold linje ved offside (synkronisering),holdtraening_midterforsvarer,5,"[""Kommunikér “op” og flyt samlet."",""Kig på makkers position (ikke kun bold)."",""Vær konsekvent hele kampen.""]",Offside-linje kan neutralisere dybdeløb.
Håndtér lange bolde (første duel),holdtraening_midterforsvarer,4,"[""Læs boldens bane og tag tidligt position."",""Vælg header/afskærm afhængigt af pres."",""Sørg for støtte under dig.""]",I stopper direkte angreb og holder holdet højt.
Tjek skulder før clearing,holdtraening_midterforsvarer,3,"[""Kig hurtigt: er der tid? hvor er faren?"",""Clear ud mod siderne, ikke centralt."",""Hvis tid: spil i fødder i stedet.""]",Reducerer returer og farlige “anden chance”-situationer.
Styr dueller i feltet (indlæg),holdtraening_midterforsvarer,4,"[""Tag position først, duel bagefter."",""Hold øje med bold og mand."",""Clear med retning ud.""]",Forhindrer headers og afslutninger tæt på mål.
Kommunikér på indlæg (zoner),holdtraening_midterforsvarer,4,"[""Aftal hvem tager forreste/bagerste zone."",""Råb “min” ved duel."",""Hold linjen samlet.""]",Mindre forvirring giver færre mål imod.
Brug kropsskærm i stedet for tackling,holdtraening_midterforsvarer,4,"[""Placer kroppen mellem mand og bold."",""Vent på støtte eller fejl."",""Undgå unødige frispark.""]",Sikrer kontrol og reducerer farlige frispark/kort.
Sideforskydning med bold (spil ud),holdtraening_midterforsvarer,3,"[""Dribl 2–5 m for at ændre vinkel."",""Lok pres, spil forbi."",""Stop hvis du mister kontrol.""]",Skaber pasningslinjer og bryder pres.
Led pres-retning (styr mod fælde),holdtraening_midterforsvarer,4,"[""Kommunikér hvor presset skal styre bolden."",""Hold midten lukket."",""Skub udad samlet.""]",Gør jeres defensiv mere organiseret og effektiv.
Første pasning efter vinding (fremad hvis muligt),holdtraening_midterforsvarer,3,"[""Scan straks efter vinding."",""Spil fremad hvis sikker; ellers til makker."",""Genpositionér til støtte.""]",I kan vende forsvar til angreb hurtigt.
“Dæk dybde først” ved usikkerhed,holdtraening_midterforsvarer,3,"[""Hvis du er i tvivl: drop et skridt."",""Beskyt bagrum før duel."",""Kommunikér “fald”.""]",Forhindrer de mest afgørende fejl: bold bag kæden.
Spilbarhed mellem kæder,holdtraening_central_midtbane,4,"[""Find lommer mellem deres midtbane og forsvar."",""Modtag på halv vending."",""Scan før du viser dig.""]",Du modtager i farlige rum og kan spille fremad.
Tempo-kontrol,holdtraening_central_midtbane,4,"[""Skift mellem 1-touch og hold i bolden."",""Sænk tempo når holdet skal op."",""Øg tempo når modstander er ubalance.""]",Du styrer rytmen og gør holdet mere modent.
Placér dig på den rigtige side af modstanderen,holdtraening_central_midtbane,4,"[""Flyt dig ud af skygge bag markør."",""Stå så du kan modtage og spille fremad."",""Justér 1–2 m for pasningslinje.""]",Du bliver mere spilbar og effektiv under pres.
Skift tempo med bolden,holdtraening_central_midtbane,4,"[""Rolig berøring → eksplosiv næste handling."",""Brug tempo til at flytte pres."",""Beslut efter scanning.""]",Skaber ubalance og åbner rum.
Tilbyd støtte bag boldholder,holdtraening_central_midtbane,3,"[""Placér dig som sikker løsning bag bold."",""Stå i vinkel til næste pas."",""Kommunikér “tilbage/ro”.""]",Holdet kan bevare kontrol og rytme.
Vurdér risiko i dine pasninger,holdtraening_central_midtbane,4,"[""Tænk konsekvens: hvor farligt er boldtab her?"",""Vælg sikker løsning i farlige zoner."",""Tag risiko når du har støtte og tid.""]",Færre farlige boldtab centralt.
Orientér dig før du modtager i preszoner,holdtraening_central_midtbane,4,"[""Scan 3+ gange før modtagelse."",""Find fri mand og presretning."",""Modtag i vinkel og spil hurtigt.""]",Midten er farlig. Scanning gør dig sikker.
Skab plads for andre,holdtraening_central_midtbane,3,"[""Træk din markør væk fra rum."",""Lav løb der åbner pasningslinje."",""Time bevægelsen med boldside.""]",Du skaber chancer uden bold.
Tag ansvar i opbygningsfasen,holdtraening_central_midtbane,4,"[""Vis dig mellem stoppere og midtbane."",""Modtag roligt og vend spil."",""Vær konstant tilgængelig.""]",I spiller jer bedre ud og kontrollerer kampen.
Genpres centralt,holdtraening_central_midtbane,4,"[""Ved tab: pres nærmeste og luk centrum."",""Styr modstander væk fra midten."",""Kommunikér så holdet følger.""]",Stopper farlige omstillinger.
Skab støttevinkel til stopper,holdtraening_central_midtbane,3,"[""Stå 5–10 m foran stopper i vinkel."",""Gør modtagelse nem."",""Spil videre hurtigt.""]",Opbygning bliver roligere og mere sikker.
Modtag mellem linjer på halv vending,holdtraening_central_midtbane,4,"[""Åbn kroppen før bolden kommer."",""Modtag med første touch fremad/til side."",""Spil hurtigt fremad hvis muligt.""]",Du kan vende mod mål og skabe gennembrud.
Skift side med længere pasning,holdtraening_central_midtbane,5,"[""Scan modsatte side før modtagelse."",""Slå bolden fladt/højt afhængigt af pres."",""Følg op med ny position.""]",Flytter modstanderens pres og skaber 1v1.
Ryd op foran forsvaret (defensiv disciplin),holdtraening_central_midtbane,4,"[""Hold position når backs går frem."",""Luk pasninger ind centralt."",""Gå kun i duel når du har støtte.""]",Beskytter bagkæden og stopper kontraløb.
Luk centrum uden bold,holdtraening_central_midtbane,3,"[""Positionér dig mellem bold og mål."",""Tving spil udad."",""Scan løb i mellemrummet.""]",Du gør modstanderen mindre farlig.
Timing i løb i felt (som 8’er),holdtraening_central_midtbane,4,"[""Kom sent ind i feltet."",""Vær klar til cutback/retur."",""Afslut på første/andet touch.""]",“Sen ankomst” giver mange målchancer.
Vær spilbar i halvrum,holdtraening_central_midtbane,4,"[""Find halvrummet mellem kant og centrum."",""Modtag på halv vending."",""Spil gennem/ud på kanten.""]",Halvrum er ofte sværest at forsvare.
Kommunikér tempo (“ro” vs “hurtigt”),holdtraening_central_midtbane,2,"[""Sig “ro” når holdet skal op."",""Sig “hurtigt” når der er omstilling."",""Understøt med din egen handling.""]",Holdet bliver bedre koordineret.
Hurtig genpasning efter tab (1. løsning),holdtraening_central_midtbane,4,"[""Ved tab: pres eller luk pasning."",""Vind den og spil første sikre pasning."",""Genpositionér straks.""]",I fastholder momentum og pres.
Spil vendt af på én berøring (støttepas),holdtraening_central_midtbane,4,"[""Modtag med åben krop."",""Vend bolden videre med én touch til fri side."",""Gør det kun når du har scannet.""]",Skaber tempo og bryder pres.
Spil i mellemrum,holdtraening_offensiv_midtbane,4,"[""Find lommer mellem kæder."",""Modtag retvendt."",""Spil fremad hurtigt.""]",Du bliver kreativ motor i farlige zoner.
Beslutninger i sidste tredjedel,holdtraening_offensiv_midtbane,5,"[""Vælg skud/pasning hurtigt."",""Undgå ekstra touches ved pres."",""Prioritér kvalitet.""]",Sidste tredjedel afgør kampe—hurtige valg skaber mål.
Modtag bolden mellem modstanderens kæder,holdtraening_offensiv_midtbane,4,"[""Bevæg dig i rette øjeblik ind i lommen."",""Modtag med åben krop."",""Vær klar til at vende.""]",Her skabes gennembrud og chancer.
Vend hurtigt mod mål,holdtraening_offensiv_midtbane,4,"[""Scan pres før modtagelse."",""Modtag på halv vending."",""Hvis pres: spil 1-touch.""]",Hurtig vending skaber ubalance og åbner skud/pas.
Træk modstandere ud af position,holdtraening_offensiv_midtbane,3,"[""Træk væk fra bold for at trække markør."",""Skab rum for kant/9’er."",""Kommunikér hvem der udnytter rummet.""]",Du skaber plads uden bold.
Spil med få berøringer i trange rum,holdtraening_offensiv_midtbane,5,"[""Scan før bolden kommer."",""Brug 1–2 touches: modtag → spil."",""Vælg sikker løsning hvis lukket.""]",Gør dig effektiv hvor tiden er mindst.
Vær afslutningsklar uden bold,holdtraening_offensiv_midtbane,4,"[""Placér dig til cutback/retur."",""Vær på tæerne og klar."",""Afslut hurtigt.""]",Flere mål/assists fra “anden bølge”.
Genkend hvornår du skal holde i bolden,holdtraening_offensiv_midtbane,4,"[""Hvis holdet er i ubalance: hold 1–2 sek."",""Hvis gennembrud: spil hurtigt."",""Læs medspillernes løb.""]",Du styrer tempo og undgår dumme tab.
Sæt tempo i omstillinger,holdtraening_offensiv_midtbane,4,"[""Ved vinding: orientér fremad straks."",""Første handling fremad."",""Peg/kommunikér løb.""]",Omstillinger giver de største chancer.
Kommunikér løb og intentioner,holdtraening_offensiv_midtbane,3,"[""Sig “væg”, “igen”, “dyb”, “føl”."",""Kommunikér før boldholder skal vælge."",""Hold det kort.""]",Bedre timing = flere gennembrud.
Spil vægspil omkring feltet,holdtraening_offensiv_midtbane,4,"[""Spil til 9’er, løb forbi, få den igen."",""Løb i fart og i vinkel."",""Afslut/pas hurtigt efter retur.""]",Bryder kompakte forsvar.
Løb på cutback,holdtraening_offensiv_midtbane,4,"[""Når kant/back kommer til baglinje: find cutback-zonen."",""Kom “sent” ind."",""Vær klar til førsteberøringsafslutning.""]",Cutbacks skaber høj xG-chancer.
Skab skudvinkel i zone 14,holdtraening_offensiv_midtbane,4,"[""Træk bolden lidt til siden før skud."",""Hold kroppen over bolden."",""Skyd placeret, ikke hårdt.""]",Flere skud med kvalitet fra farligt område.
1-touch i zone 14,holdtraening_offensiv_midtbane,5,"[""Scan før pasningen kommer."",""Sæt den videre på 1 touch hvis pres."",""Brug inderside for kontrol.""]",Du kan spille i højeste tempo i farlig zone.
Timing i tredje mand,holdtraening_offensiv_midtbane,5,"[""Spil til A, løb i rum, få den fra B."",""Kommunikér “tredje”."",""Løb i rette øjeblik.""]",Skaber gennembrud mod gode hold.
Træk fouls i farlige zoner,holdtraening_offensiv_midtbane,3,"[""Vend ind i pres med bold tæt på fod."",""Beskyt bolden med kroppen."",""Stop/accelerér for at “fange” tacklingen.""]",Farlige frispark og kort skifter kampe.
Pres på modstanderens 6’er,holdtraening_offensiv_midtbane,4,"[""Luk hans modtagelse med vinkel."",""Tving ham til siden."",""Trigger holdets pres.""]",Stopper deres opbygning centralt.
Find blindside (bag midtbanespiller),holdtraening_offensiv_midtbane,4,"[""Stå hvor markøren ikke kan see dig."",""Flyt i sidste øjeblik ind i lommen."",""Modtag retvendt.""]",Du bliver fri i farlige rum.
Skift mellem bred og central position,holdtraening_offensiv_midtbane,3,"[""Træk ud i halvrum når centrum er lukket."",""Kom ind centralt når der åbner sig."",""Kommunikér med kant.""]","Gør dig svær at markere.
Vælg gennembrudspasnin"
