focus_area,category_path,star_rating,how_to,why
Estimate when you will stay,holdtraening_back,4,"[""Check cover behind you before you go."",""Stay if you are out of balance."",""Go when you have control and support.""]",You avoid leaving behind space and being penalized in transitions.
Position yourself correctly in defensive transition,holdtraening_back,4,"[""Sprint home towards the goal side first."",""Close the inside and protect the back compartment."",""Press only when you are organized.""]",You stop dangerous counterattacks.
Play simple under pressure,holdtraening_back,3,"[""1-touch for safe solution in case of close pressure."",""Avoid dribbling in own third without support."",""Use goalkeeper/stoppers as a way out.""]",Fewer dangerous turnovers.
Adjust the distance to the winger,holdtraening_back,3,"[""If the edge goes in, keep the width."",""If the edge is wide, you can support inwards."",""Communicate race/role.""]",Better cooperation provides both breakthroughs and defensive security.
Press at the correct angle,holdtraening_back,4,"[""Press to close the inside."",""Steer towards the sideline."",""Slow down when you are close to balance.""]","You ""steer"" the opponent to harmless areas."
Recognize when to push forward,holdtraening_back,4,"[""Push when the ball holder has poor control/back to goal."",""Stay if there are runs behind you without cover."",""Say \""I\"" to stop.""]",Good timing can win the ball high up the pitch.
Be ready at the back post defensively,holdtraening_back,3,"[""When the ball is opposite: drop in towards the back post."",""Mark inlet behind you."",""Be ready for clearance.""]","Prevents many ""free"" post goals."
Communicate overlap and inflow,holdtraening_back,2,"[""Say \""overlap\"", \""inside\"", \""man on\""."",""Point where the race is coming."",""Communicate early.""]",Less misunderstandings and better timing.
Underlap timing,holdtraening_back,4,"[""Start the underlap when the edge stretches wide and you see space inside."",""Run at speed into the half-space."",""Expect cutbacks.""]",Creates dangerous cutbacks and breakthroughs centrally.
Post vs cutback selection,holdtraening_back,4,"[""Look up before delivery: are there people in the box?"",""At low defense: cutback often best."",""When running in the box: posts against zones.""]",Better end product = more chances.
Cover the post side in 1v1,holdtraening_back,3,"[""Position yourself so you can block posts."",""Keep your distance so you can react."",""Force back/out.""]",Reduces dangerous posts.
Pressure when ball turns (trigger),holdtraening_back,4,"[""Press hard when the opponent faces his own goal."",""Close pass line forward."",""Communicate so the team supports.""]",Creates mistakes and high turnovers.
Play diagonally into the pitch when there is room,holdtraening_back,4,"[""Scan if the center is free."",""Dribble in 3–5 m before passing."",""Play for 8/10 at intervals.""]",You break pressure and create better angles.
Communicate with 6s about changing coverage,holdtraening_back,3,"[""Say \""cover me\"" when you go forward."",""Agree who takes half space."",""Repeat on page change.""]",Better balance when you move forward.
Sprint home after overlap,holdtraening_back,3,"[""When the attack dies: sprint home directly."",""Find your own zone first, then press."",""Look for runs behind you.""]",Stops counter attack.
First touch forward on the edge,holdtraening_back,3,"[""Receive at speed and take touch out of feet."",""Create space for posts/passes."",""Avoid dead ball touch.""]",Faster action on the page results in more breakthroughs.
Mark the back post on cross (defensive),holdtraening_back,3,"[""Drop in behind the stops."",""Watch the edge from the opposite side."",""Clear with first touch.""]",Prevents terminations at the back post.
Choose when to duel,holdtraening_back,4,"[""Duel when you have support behind you."",""Wait if you can be played by."",""Steer first, tackle later.""]",Fewer breakthroughs against you.
First touch away from pressure,holdtraening_midterforsvarer,4,"[""Scan before receiving: where does pressure come from?"",""Take the first touch away from pressure, not into it."",""Play simple if you are locked.""]",You avoid dangerous ball losses centrally.
Control the rear chain together,holdtraening_midterforsvarer,4,"[""Communicate “up/fall/hold”."",""Keep your distance from partner."",""Move as a unit when switching pages.""]",The chain becomes stable and difficult to break.
Read the game before you duel,holdtraening_midterforsvarer,4,"[""Read recipient's first touch."",""Wait for trigger (poor control/back to target)."",""Go aggressively when you walk.""]",Timing reduces the risk of being outplayed.
Be brave in the turnover,holdtraening_midterforsvarer,4,"[""Look for 6/8 in the gap."",""Play forward when it is safe."",""Use goalkeeper/partner as security.""]",You build attacks instead of clearing.
Adjust the depth of the rear chain,holdtraening_midterforsvarer,5,"[""High pressure = high chain, but assembled."",""Low pressure = drop to protect rear compartment."",""Communicate constantly.""]",Stops stitches and running behind the back.
Cover the room – not just the man,holdtraening_midterforsvarer,4,"[""Prioritize space between you and target."",""Leave husband to partner if possible."",""See both ball and run.""]",You stop breakthroughs and dangerous passes.
Prepare for the second ball,holdtraening_midterforsvarer,3,"[""After duel: take 1–2 steps ready."",""Anticipate where the ball will fall."",""Clear or play simple.""]",Second balls determine momentum.
Create calm after winning the ball,holdtraening_midterforsvarer,3,"[""First pass: safe."",""Reposition after fitting."",""Avoid \""panic clears\"".""]",You keep the ball and avoid another wave against you.
Communicate who is offending,holdtraening_midterforsvarer,3,"[""Agree who pushes, who secures."",""Say “I/ your/ stay”."",""Repeat when switching.""]",Fewer misunderstandings and gaps.
Be aware of running behind the back,holdtraening_midterforsvarer,4,"[""Scan when the ball holder has time."",""Stand half-turned so you can run."",""Shout \""run\"" to the chain.""]","Prevents free runners, the most dangerous chances."
Keep line on offside (synchronization),holdtraening_midterforsvarer,5,"[""Communicate \""up\"" and move together."",""Look at partner's position (not just ball)."",""Be consistent throughout the game.""]",Offside line can neutralize deep runs.
Handle long balls (first duel),holdtraening_midterforsvarer,4,"[""Read the trajectory of the ball and take position early."",""Select header/screen depending on pressure."",""Ensure support under you.""]",You stop direct attacks and keep the team high up the pitch.
Check shoulder before clearing,holdtraening_midterforsvarer,3,"[""Quick look: is there time? where is the father"",""Clear towards the sides, not centrally."",""If time: play in feet instead.""]",Reduces rebounds and dangerous “second chance” situations.
Control duels in the box (posts),holdtraening_midterforsvarer,4,"[""Take position first, duel later."",""Keep an eye on ball and man."",""Clear with direction out.""]",Prevents headers and finishes close to goal.
Communicate on posts (zones),holdtraening_midterforsvarer,4,"[""Agree who takes the front/back zone."",""Shout \""min\"" when dueling."",""Keep the line together.""]",Less confusion means fewer goals against.
Use body shield instead of tackling,holdtraening_midterforsvarer,4,"[""Place the body between the man and the ball."",""Wait for support or error."",""Avoid unnecessary free kicks.""]",Ensures control and reduces dangerous free kicks/cards.
Side shift with ball (play out),holdtraening_midterforsvarer,3,"[""Dribble 2–5 m to change angle."",""Lure pressure, pass game."",""Stop if you lose control.""]",Creates passing lines and breaks pressure.
Led pressure direction (steer towards trap),holdtraening_midterforsvarer,4,"[""Communicate where the pressure should direct the ball."",""Keep the center closed."",""Push outwards together.""]",Make your defense more organized and efficient.
First pass after winning (forward if possible),holdtraening_midterforsvarer,3,"[""Scan immediately after winning."",""Play forward if safe; otherwise to partner."",""Reposition for support.""]",You can turn defense into offense quickly.
"""Cover depth first"" in case of uncertainty",holdtraening_midterforsvarer,3,"[""If in doubt: skip a step."",""Protect back room before duel."",""Communicate “fall”.""]",Prevents the most crucial mistakes: ball behind the chain.
Playability between chains,holdtraening_central_midtbane,4,"[""Find pockets between their midbox and defence."",""Receive in half turn."",""Scan before you show up.""]",You receive in dangerous spaces and can play forward.
Tempo control,holdtraening_central_midtbane,4,"[""Switch between 1-touch and holding the ball."",""Slow down when the team is going up."",""Increase tempo when opponent is unbalanced.""]",You control the rhythm and make the team more mature.
Place yourself on the right side of the opponent,holdtraening_central_midtbane,4,"[""Move out of shadow behind marker."",""Stand so you can receive and play forward."",""Adjust 1–2 m for fitting line.""]",You become more playable and effective under pressure.
Change pace with the ball,holdtraening_central_midtbane,4,"[""Calm touch → explosive next action."",""Use tempo to shift pressure."",""Decide after scanning.""]",Creates imbalance and opens space.
Offer support behind the ball carrier,holdtraening_central_midtbane,3,"[""Position yourself as a safe solution behind the ball."",""Stand at an angle to the next pass."",""Communicate “back/calm”.""]",The team can maintain control and rhythm.
Assess risk in your passes,holdtraening_central_midtbane,4,"[""Think consequence: how dangerous is losing the ball here?"",""Choose a safe solution in dangerous zones."",""Take risks when you have support and time.""]",Fewer dangerous ball losses centrally.
Orient yourself before receiving in pressure zones,holdtraening_central_midtbane,4,"[""Scan 3+ times before receiving."",""Find free teammate and pressure direction."",""Receive at an angle and play fast.""]",The middle is dangerous. Scanning makes you safe.
Make room for others,holdtraening_central_midtbane,3,"[""Drag your cursor away from rooms."",""Make runs that open passing lanes."",""Time the movement with ball side.""]",You create chances without the ball.
Take responsibility in the construction phase,holdtraening_central_midtbane,4,"[""Show yourself between the defenders and midbox."",""Receive calmly and turn the game around."",""Be constantly available.""]",You play better and control the game.
Repress centrally,holdtraening_central_midtbane,4,"[""In case of loss: press the closest and close the center."",""Control opponent away from the center."",""Communicate so the team follows.""]",Stops dangerous transitions.
Create support angle for stops,holdtraening_central_midtbane,3,"[""Stand 5–10 m in front of the stop at an angle."",""Make reception easy."",""Play on quickly.""]",Construction becomes quieter and safer.
Receive between lines on half turn,holdtraening_central_midtbane,4,"[""Open the body before the ball arrives."",""Receive with first touch forward/to the side."",""Play fast forward if possible.""]",You can face goals and create breakthroughs.
Change side with longer pass,holdtraening_central_midtbane,5,"[""Scan opposite side before receiving."",""Hit the ball flat/high depending on pressure."",""Follow up with new position.""]",Moves the opponent's pressure and creates 1v1.
Clean up in front of the defense (defensive discipline),holdtraening_central_midtbane,4,"[""Hold position when backs advance."",""Close passes in centrally."",""Only duel when you have support.""]",Protects the rear chain and stops counter running.
Close center without ball,holdtraening_central_midtbane,3,"[""Position yourself between the ball and the goal."",""Force play outwards."",""Scan ran in the gap.""]",You make the opponent less dangerous.
Timing in running in box (as 8's),holdtraening_central_midtbane,4,"[""Entered the box late."",""Be ready for cutback/return."",""End on first/second touch.""]","""Late arrival"" provides many goal chances."
Be playable in half space,holdtraening_central_midtbane,4,"[""Find the half space between edge and center."",""Receive in half turn."",""Play through/out on the edge.""]",Half spaces are often the most difficult to defend.
Communicate pace (“calm” vs “quick”),holdtraening_central_midtbane,2,"[""Say \""calm\"" when the team is going up."",""Say \""quick\"" when there is a changeover."",""Support with your own action.""]",The team becomes better coordinated.
Quick readjustment after loss (1st solution),holdtraening_central_midtbane,4,"[""In case of loss: press or close pass."",""Win it and play first safe pass."",""Reposition immediately.""]",You maintain momentum and pressure.
Game flipped in one touch (support pass),holdtraening_central_midtbane,4,"[""Receive with open body."",""Turn the ball forward with one touch to the free side."",""Do this only after you have scanned.""]",Creates tempo and breaks pressure.
Play in between,holdtraening_offensiv_midtbane,4,"[""Find pockets between chains."",""Receive facing right."",""Play forward fast.""]",You become a creative engine in dangerous zones.
Decisions in the last third,holdtraening_offensiv_midtbane,5,"[""Select shot/pass quickly."",""Avoid extra touches when under pressure."",""Prioritize quality.""]",The final third decides games—quick choices create goals.
Receive the ball between the opponent's chains,holdtraening_offensiv_midtbane,4,"[""Move into the pocket at the right moment."",""Receive with open body."",""Be ready to turn.""]",Breakthroughs and chances are created here.
Quickly face the target,holdtraening_offensiv_midtbane,4,"[""Scan pressure before receipt."",""Receive in half turn."",""If pressure: play 1-touch.""]",Quick turn creates imbalance and opens shot/pass.
Pull opponents out of position,holdtraening_offensiv_midtbane,3,"[""Drag away from ball to drag marker."",""Make room for edges/9s."",""Communicate who uses the space.""]",You create space without the ball.
Play with few touches in tight spaces,holdtraening_offensiv_midtbane,5,"[""Scan before the ball arrives."",""Use 1–2 touches: receive → play."",""Choose safe solution if closed.""]",Make you efficient where time is least.
Be ready to finish without the ball,holdtraening_offensiv_midtbane,4,"[""Position yourself for cutback/return."",""Be on your toes and ready."",""Exit quickly.""]","More goals/assists from the ""second wave""."
Recognize when to hold onto the ball,holdtraening_offensiv_midtbane,4,"[""If the team is unbalanced: hold 1–2 sec."",""If breakthrough: play fast."",""Read the runs of the teammates.""]",You control the pace and avoid stupid losses.
Set the pace for changes,holdtraening_offensiv_midtbane,4,"[""In the event of a winch: orientate ahead immediately."",""First act forward."",""Point/communicate run.""]",Changes offer the greatest chances.
Communicate race and intentions,holdtraening_offensiv_midtbane,3,"[""Say “wall”, “again”, “deep”, “feel”."",""Communicate before the ball holder has to choose."",""Keep it short.""]",Better timing = more breakthroughs.
Play wall games around the box,holdtraening_offensiv_midtbane,4,"[""Play to 9's, run past, get it again."",""Run at speed and at an angle."",""Finish/take care quickly after return.""]",Breaks compact defenses.
Run on cutback,holdtraening_offensiv_midtbane,4,"[""When edge/back comes to backline: find the cutback zone."",""Came in \""late\""."",""Be ready for the first touch finish.""]",Cutbacks create high xG chance.
Create shot angle in zone 14,holdtraening_offensiv_midtbane,4,"[""Pull the ball slightly to the side before shooting."",""Keep your body over the ball."",""Shoot placed, not hard.""]",More shots with quality from dangerous area.
1-touch in zone 14,holdtraening_offensiv_midtbane,5,"[""Scan before the pass arrives."",""Set it to 1 touch if pressure."",""Use inside page for control.""]",You can play at top speed in dangerous zone.
Timing in third person,holdtraening_offensiv_midtbane,5,"[""Play to A, run in room, get it from B."",""Communicate “third”."",""Run at the right moment.""]",Creates breakthroughs against good teams.
Draw fouls in dangerous zones,holdtraening_offensiv_midtbane,3,"[""Turn into pressure with ball close to foot."",""Protect the ball with your body."",""Stop/accelerate to “catch” the tackle.""]",Dangerous free kicks and cards change games.
Pressure on the opponent's 6,holdtraening_offensiv_midtbane,4,"[""Close his reception with angle."",""Force him to the side."",""Trigger the team's pressure.""]",Stops their build-up centrally.
Find blindside (behind midboxer),holdtraening_offensiv_midtbane,4,"[""Stand where the marker cannot see you."",""Move at the last minute into the pocket."",""Receive facing right.""]",You will be free in dangerous spaces.
Switch between wide and central position,holdtraening_offensiv_midtbane,3,"[""Pull out into half space when the center is closed."",""Come in centrally when it opens."",""Communicate with edge.""]",Make you hard to mark.
Select breakthrough fit (timing),holdtraening_offensiv_midtbane,5,"[""Wait for the race, play right when he starts."",""Play through/over the chain depending on room."",""If not safe: keep the ball.""]",Creates direct scoring chances.
1v1 decisions,holdtraening_kant,4,"[""Scan: do you have excess/room?"",""Challenge when you can beat your man."",""Play simple if you are closed.""]",Correct 1v1 picks provide breakthroughs and fewer losses.
Positioning in the box,holdtraening_kant,4,"[""Get on the back post by post."",""Hour passed \""late\""."",""Be ready to return.""]",More finishes from good positions.
Position yourself wide to stretch the game,holdtraening_kant,3,"[""Keep the width in build-up."",""Create 1v1 at the touchline."",""Enter the lane at the right time.""]",Opens space centrally and gives 1v1.
Timing in inlet,holdtraening_kant,4,"[""Start running when the pass can be played."",""Run between back and stopper."",""Scan offside line.""]",Creates great chances behind the chain.
Assess when to hold the width,holdtraening_kant,3,"[""If back overlaps: go in."",""If no width: stay out."",""Read the game's requirements.""]",The team gets balance and better structure.
Play quickly after breakthrough,holdtraening_kant,4,"[""After you beat your husband: look up."",""Select cutback/insert/fit immediately."",""Avoid extra dribbles.""]",The best chances come right after breakthroughs.
Re-press on the backs,holdtraening_kant,4,"[""In case of loss: press their back immediately."",""Steer towards the sideline."",""Get support from your back.""]",Quick ball wins close to goal.
Find space between back and stopper,holdtraening_kant,5,"[""Scan the gap between them."",""Run diagonally in behind back."",""Tim the run, avoid offside.""]",One of the most dangerous spaces in modern football.
Be ready for the second ball in the box,holdtraening_kant,3,"[""Position yourself in the return zone."",""Be on your toes."",""Finish quickly on loose balls.""]",Many goals are scored on returns.
Create persuasion on the page,holdtraening_kant,4,"[""Combine with back (2v1)."",""Use wall games."",""Communicate overlap/underlap.""]",Settlement on the side creates posts and chances.
First touch at speed,holdtraening_kant,3,"[""Receive and take touch forward."",""Keep ball close enough for control."",""Avoid dead ball touch.""]",You become more dangerous in 1v1 and in transition.
Post early (before defense settles),holdtraening_kant,4,"[""Look up and post before blocking."",""Break in behind the defensive line."",""Variation: flat/high up the pitch.""]",Early posts can surprise and create chaos.
Cut inside and finish,holdtraening_kant,4,"[""Change direction inward with ball close to foot."",""Create shot angle."",""Finish placed.""]",Gives more shots from dangerous areas.
Back-post defensively (help your back),holdtraening_kant,3,"[""Drop in at opposite posts."",""Mark rear post/runner."",""Clear first ball.""]","Prevents ""free"" goals at the back post."
Press their stops outwards,holdtraening_kant,4,"[""Press with an angle so that he is forced out towards the touchline."",""Close pass in centrally."",""Trigger the team's pressure.""]",You win the ball higher and stop the buildup.
Receive in half-space,holdtraening_kant,4,"[""Get in between edge and center."",""Receive in half turn."",""Play quickly in depth or back.""]",Half space is difficult to defend and provides breakthroughs.
Create 2v1 with 10s,holdtraening_kant,4,"[""Play in → run out / play out → run in."",""Communicate “wall/again”."",""Keep pace in combination.""]",Creates breakthrough against low defense.
Finish at the back post offensively,holdtraening_kant,4,"[""Get on the back post when cross from the opposite side."",""Hour \""late arrival\""."",""Exit on first touch.""]",Gives many goal chances without close marking.
Body feint in reception,holdtraening_kant,4,"[""Make a small body feint before the first touch."",""Take the ball away from pressure."",""Accelerate after the feint.""]",Creates space and time in 1v1.
Return run to back (discipline),holdtraening_kant,3,"[""If the ball is lost: sprint home in your channel."",""Take the opponent's back/wing."",""Communicate with your back.""]",The team will be much more solid defensively.
Timing of depth run,holdtraening_angriber,4,"[""Wait until the pass can be hit."",""Start the run when the ball holder raises his head."",""Check offside line.""]",Better timing results in more free runners and finishes.
Play with your back to the goal,holdtraening_angriber,4,"[""Use the body to shield."",""Play 1-touch for support when pressure is tight."",""Only turn if you have time.""]",You keep attacks going and create chances for others.
Move in relation to the ball carrier,holdtraening_angriber,4,"[""If he is under pressure: come to support."",""If he has time: run in the back room."",""Always create a clear opportunity.""]",Makes the ball carrier's choice easy and creates chances.
Draw defenders away from zones,holdtraening_angriber,4,"[""Run away from ball to draw stops."",""Make room for 10s/edge."",""Communicate who uses the space.""]",You create space without the ball.
Be constantly playable,holdtraening_angriber,3,"[""Small re-positionings all the time."",""Stand between two stoppers."",""Show yourself to the ball carrier.""]",You get more touches and finishes.
Press the first pass from the defense,holdtraening_angriber,4,"[""Start pressure on their first build."",""Press at an angle and close one side."",""Force long balls.""]",Creates mistakes and high turnovers.
Coordinate runs with teammates,holdtraening_angriber,5,"[""Avoid running the same line as the edge."",""Agreement \""I go/you go\""."",""Communicate the run before it happens.""]",Coordinated runs create the greatest chances.
Be ready for returns in the box,holdtraening_angriber,3,"[""Expect return after shot/post."",""Position yourself at the penalty spot/2. wave."",""React first.""]",Many goals are return goals.
Choose completion over extra touch,holdtraening_angriber,4,"[""If you have angle: shoot."",""Avoid \""reading\"" for too long."",""Finish quickly, especially in the box.""]",Quick finishes score more.
Communicate your runs,holdtraening_angriber,3,"[""Say \""deep\"", \""in feet\"", \""wall\"", \""again\""."",""Communicate before the ball keeper decides."",""Keep it short.""]",Better timing and more breakthroughs.
Run towards the first post at cross,holdtraening_angriber,4,"[""Start running right when the insertion situation occurs."",""Run aggressively towards the front zone."",""Exit on first touch.""]","You get in front of the defender and score many ""classic"" goals."
Attack Second Post (Back Zone),holdtraening_angriber,4,"[""When the ball is on the opposite side: sneak toward the back post."",""Hour \""late arrival\""."",""Be ready for finish/rebound.""]",Often a free zone - creates big chances.
Hold stops in the back (make contact),holdtraening_angriber,4,"[""Stand so the defender feels you."",""Change direction suddenly."",""Use your body to create space.""]",You win position in the box.
Wall game and depth run (1-2),holdtraening_angriber,5,"[""Play wall with 10s/8s."",""Sprint in the back room after delivery."",""Claim the ball deep.""]",Breaks chains and creates free runners.
First-touch finishing,holdtraening_angriber,5,"[""Position your body before the ball arrives."",""Finish with the inside of your foot for control."",""Choose a corner, not power.""]",Time in the box is short – first-touch finishes score.
Make room for cutback,holdtraening_angriber,4,"[""Pull away from the front post and come back."",""Find the “cutback zone” around the stain."",""Be ready for 1-touch.""]",Cutbacks provide very high scoring chances.
Press with an angle towards the goalkeeper,holdtraening_angriber,4,"[""Start the pressure so that you close the pass to one stop."",""Force the goalkeeper into a bad footing."",""Hold sprint for 3–5 sec, then fall.""]",Creates errors and long clearings.
Keep the ball under pressure (hold),holdtraening_angriber,4,"[""Shield with the body."",""Use a single touch to lock away the ball."",""Play back to support quickly.""]",You keep attacking and get the team up.
